, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",0,0,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",158,64,94,0,0
"""Rental by client, with VASH subsidy""",1,1,0,0,0
"""Rental by client, with GPD TIP subsidy""",1,1,0,0,0
"""Rental by client, other ongoing subsidy""",17,3,13,1,0
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Staying or living with family, permanent tenure""",10,7,3,0,0
"""Staying or living with friends, permanent tenure""",3,3,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",4,2,2,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",194,81,112,1,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",18,13,5,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Staying or living with family, temporary tenure""",21,21,0,0,0
"""Staying or living with friends, temporary tenure""",45,28,17,0,0
"""Place not meant for human habitation""",60,41,19,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",34,23,11,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",178,126,52,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",1,0,1,0,0
"""Psychiatric hospital or other psychiatric facility""",1,1,0,0,0
"""Substance abuse treatment facility or detox center""",0,0,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",3,3,0,0,0
"""Jail, prison, or juvenile detention facility""",2,2,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Subtotal""",7,6,1,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Deceased""",0,0,0,0,0
"""Other""",5,0,5,0,0
"""Client Doesn't Know/Client Refused""",6,6,0,0,0
"""Data Not Collected (no exit interview completed)""",12,10,2,0,0
"""Subtotal""",23,16,7,0,0
"""Total""",402,229,172,1,0
"""Total persons exiting to positive housing destinations""",55,26,29,0,0
"""Total persons whose destinations excluded them from the calculation""",1,0,1,0,0
"""Percentage""",0.14,0.11,0.17,0.0,0.0
