"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",188,8,44
"""Adults with Only Other Income""",159,38,36
"""Adults with Both Earned and Other Income""",32,3,15
"""Adults with No Income""",432,14,207
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",7,0,1
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,378,0
"""Number of Adult Stayers without Required Annual Assessment""",0,77,0
"""Total Adults""",821,518,303
"""1 or More Source of Income""",415,52,110
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,63,0
