, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",100,71,29,0,0
"""Transitional housing for homeless persons (including homeless youth)""",2,2,0,0,0
"""Place not meant for human habitation""",159,136,23,0,0
"""Safe Haven""",2,1,1,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",263,210,53,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",2,2,0,0,0
"""Substance abuse treatment facility or detox center""",4,4,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",12,12,0,0,0
"""Jail, prison or juvenile detention facility""",18,17,1,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Subtotal""",36,35,1,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",9,8,1,0,0
"""Owned by client, with ongoing housing subsidy""",1,1,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",1,0,1,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",226,141,84,0,1
"""Rental by client, with VASH housing subsidy""",1,1,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",2,2,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",8,4,4,0,0
"""Hotel or motel paid for without emergency shelter voucher""",82,47,35,0,0
"""Staying or living in a friend''s room, apartment or house""",83,61,22,0,0
"""Staying or living in a family member''s room, apartment or house""",102,61,41,0,0
"""Client Doesn''t Know/Client Refused""",0,0,0,0,0
"""Data not collected""",11,8,3,0,0
"""Subtotal""",526,334,191,0,1
"""Total""",825,579,245,0,1
