income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,4,12,16,0.25,0,19,19,0.0,0,0,0,0.0,adults,2016-05-01,2016-05-31,Q19b
Supplemental Security Income (SSI),8,0,8,1.0,0,1,1,0.0,0,0,0,0.0,adults,2016-05-01,2016-05-31,Q19b
Social Security Disability Insurance (SSDI),5,1,6,0.83,1,0,1,1.0,0,0,0,0.0,adults,2016-05-01,2016-05-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2016-05-01,2016-05-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2016-05-01,2016-05-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2016-05-01,2016-05-31,Q19b
Temporary Assistance for Needy Families (TANF),0,1,1,0.0,0,1,1,0.0,0,0,0,0.0,adults,2016-05-01,2016-05-31,Q19b
Retirement Income from Social Security,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2016-05-01,2016-05-31,Q19b
Pension or retirement income from a former job,0,0,0,0.0,1,0,1,1.0,0,0,0,0.0,adults,2016-05-01,2016-05-31,Q19b
Child Support,0,0,0,0.0,0,1,1,0.0,0,0,0,0.0,adults,2016-05-01,2016-05-31,Q19b
Other source,0,0,0,0.0,0,1,1,0.0,0,0,0,0.0,adults,2016-05-01,2016-05-31,Q19b
No Sources,1,9,10,0.1,2,8,10,0.2,0,0,0,0.0,adults,2016-05-01,2016-05-31,Q19b
Unduplicated Total Adults,14,22,36,NA,3,28,31,NA,0,0,0,NA,adults,2016-05-01,2016-05-31,Q19b
