veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,13,all_households,2016-05-01,2016-05-31,Q25b,without_children,13
Chronically Homeless Veteran,13,all_households,2016-05-01,2016-05-31,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,13,all_households,2016-05-01,2016-05-31,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,7,all_households,2016-05-01,2016-05-31,Q25b,without_children,5
Non-Chronically Homeless Veteran,7,all_households,2016-05-01,2016-05-31,Q25b,with_children_and_adults,2
Non-Chronically Homeless Veteran,7,all_households,2016-05-01,2016-05-31,Q25b,unknown_household_type,0
Not a Veteran,281,all_households,2016-05-01,2016-05-31,Q25b,without_children,208
Not a Veteran,281,all_households,2016-05-01,2016-05-31,Q25b,with_children_and_adults,72
Not a Veteran,281,all_households,2016-05-01,2016-05-31,Q25b,unknown_household_type,1
Client Doesn't Know/Client Refused,2,all_households,2016-05-01,2016-05-31,Q25b,without_children,2
Client Doesn't Know/Client Refused,2,all_households,2016-05-01,2016-05-31,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_households,2016-05-01,2016-05-31,Q25b,unknown_household_type,0
Data Not Collected,7,all_households,2016-05-01,2016-05-31,Q25b,without_children,7
Data Not Collected,7,all_households,2016-05-01,2016-05-31,Q25b,with_children_and_adults,0
Data Not Collected,7,all_households,2016-05-01,2016-05-31,Q25b,unknown_household_type,0
