conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,112,16,5,all_persons,2016-05-01,2016-05-31,Q13a1,without_children,91
Mental Health Disorder,112,16,5,all_persons,2016-05-01,2016-05-31,Q13a1,with_only_children,0
Mental Health Disorder,112,16,5,all_persons,2016-05-01,2016-05-31,Q13a1,unknown_household_type,0
Alcohol Use Disorder,15,0,0,all_persons,2016-05-01,2016-05-31,Q13a1,without_children,15
Alcohol Use Disorder,15,0,0,all_persons,2016-05-01,2016-05-31,Q13a1,with_only_children,0
Alcohol Use Disorder,15,0,0,all_persons,2016-05-01,2016-05-31,Q13a1,unknown_household_type,0
Drug Use Disorder,9,2,0,all_persons,2016-05-01,2016-05-31,Q13a1,without_children,6
Drug Use Disorder,9,2,0,all_persons,2016-05-01,2016-05-31,Q13a1,with_only_children,1
Drug Use Disorder,9,2,0,all_persons,2016-05-01,2016-05-31,Q13a1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,19,2,0,all_persons,2016-05-01,2016-05-31,Q13a1,without_children,17
Both Alcohol and Drug Use Disorders,19,2,0,all_persons,2016-05-01,2016-05-31,Q13a1,with_only_children,0
Both Alcohol and Drug Use Disorders,19,2,0,all_persons,2016-05-01,2016-05-31,Q13a1,unknown_household_type,0
Chronic Health Condition,52,9,5,all_persons,2016-05-01,2016-05-31,Q13a1,without_children,37
Chronic Health Condition,52,9,5,all_persons,2016-05-01,2016-05-31,Q13a1,with_only_children,1
Chronic Health Condition,52,9,5,all_persons,2016-05-01,2016-05-31,Q13a1,unknown_household_type,0
HIV/AIDS,94,2,0,all_persons,2016-05-01,2016-05-31,Q13a1,without_children,91
HIV/AIDS,94,2,0,all_persons,2016-05-01,2016-05-31,Q13a1,with_only_children,1
HIV/AIDS,94,2,0,all_persons,2016-05-01,2016-05-31,Q13a1,unknown_household_type,0
Development Disability,22,3,7,all_persons,2016-05-01,2016-05-31,Q13a1,without_children,12
Development Disability,22,3,7,all_persons,2016-05-01,2016-05-31,Q13a1,with_only_children,0
Development Disability,22,3,7,all_persons,2016-05-01,2016-05-31,Q13a1,unknown_household_type,0
Physical Disability,65,9,3,all_persons,2016-05-01,2016-05-31,Q13a1,without_children,53
Physical Disability,65,9,3,all_persons,2016-05-01,2016-05-31,Q13a1,with_only_children,0
Physical Disability,65,9,3,all_persons,2016-05-01,2016-05-31,Q13a1,unknown_household_type,0
