ch_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,43,all_persons,2016-05-01,2016-05-31,Q26b,without_children,43
Chronically Homeless ,43,all_persons,2016-05-01,2016-05-31,Q26b,with_children_and_adults,0
Chronically Homeless ,43,all_persons,2016-05-01,2016-05-31,Q26b,with_only_children,0
Chronically Homeless ,43,all_persons,2016-05-01,2016-05-31,Q26b,unknown_household_type,0
Not Chronically Homeless,448,all_persons,2016-05-01,2016-05-31,Q26b,without_children,189
Not Chronically Homeless,448,all_persons,2016-05-01,2016-05-31,Q26b,with_children_and_adults,247
Not Chronically Homeless,448,all_persons,2016-05-01,2016-05-31,Q26b,with_only_children,9
Not Chronically Homeless,448,all_persons,2016-05-01,2016-05-31,Q26b,unknown_household_type,3
Client Doesn't Know/Client Refused,0,all_persons,2016-05-01,2016-05-31,Q26b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2016-05-01,2016-05-31,Q26b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2016-05-01,2016-05-31,Q26b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2016-05-01,2016-05-31,Q26b,unknown_household_type,0
Data Not Collected,47,all_persons,2016-05-01,2016-05-31,Q26b,without_children,34
Data Not Collected,47,all_persons,2016-05-01,2016-05-31,Q26b,with_children_and_adults,11
Data Not Collected,47,all_persons,2016-05-01,2016-05-31,Q26b,with_only_children,0
Data Not Collected,47,all_persons,2016-05-01,2016-05-31,Q26b,unknown_household_type,2
