"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",90,6,23
"""Adults with Only Other Income""",130,24,24
"""Adults with Both Earned and Other Income""",12,1,3
"""Adults with No Income""",179,13,56
"""Adults with Client Doesn't Know/Client Refused Income Information""",3,0,3
"""Adults with Missing Income Information""",16,0,4
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,205,0
"""Number of Adult Stayers without Required Annual Assessment""",0,68,0
"""Total Adults""",430,317,113
"""1 or More Source of Income""",253,33,57
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,44,0
