, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",7,8,15,0.47,1,11,12,0.08,0,0,0,0.0
"""Supplemental Security Income (SSI)""",13,1,14,0.93,4,2,6,0.67,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",4,1,5,0.8,4,0,4,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",1,0,1,1.0,0,1,1,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",1,1,2,0.5,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",1,0,1,1.0,1,2,3,0.33,0,0,0,0.0
"""Other source""",2,0,2,1.0,0,0,0,0.0,0,0,0,0.0
"""No Sources""",16,24,40,0.4,1,5,6,0.17,0,0,0,0.0
"""Unduplicated Total Adults""",38,34,72,,7,18,25,,0,0,0,
