, "Total" , "Without Children", "With Children and Adults", "With Only Children", "Unknown Household Type"
"""7 days or less""",15,2,13,0,0
"""8 to 14 days""",2,0,2,0,0
"""15 to 21 days""",3,3,0,0,0
"""22 to 30 days""",1,1,0,0,0
"""31 to 60 days""",0,0,0,0,0
"""61 to 180 days""",5,1,4,0,0
"""181 to 365 days""",0,0,0,0,0
"""366 to 730 days (1-2 Yrs)""",0,0,0,0,0
"""Total (persons moved into housing)""",26,7,19,0,0
"""Average length of time to housing""",24,21,26,0,0
"""Persons who were exited without move-in""",0,0,0,0,0
"""Total""",26,7,19,0,0
