, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",41,38,3,0,0
"""8 to 14 days""",17,7,10,0,0
"""15 to 21 days""",19,5,14,0,0
"""22 to 30 days""",17,8,9,0,0
"""31 to 60 days""",53,29,24,0,0
"""61 to 180 days""",66,33,33,0,0
"""181 to 365 days""",21,12,8,1,0
"""366-730 days (1-2 years)""",31,24,7,0,0
"""731 days or more""",32,30,2,0,0
"""Total (persons moved into housing)""",297,186,110,1,0
"""Not yet moved into housing""",9,2,7,0,0
"""Data not collected""",14,12,2,0,0
"""Total persons""",320,200,119,1,0
