, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",103,7,26
"""Unemployment Insurance""",1,0,0
"""Supplemental Security Income (SSI)""",79,19,20
"""Social Security Disability Insurance (SSDI)""",49,11,9
"""VA Service - Connected Disability Compensation""",7,3,1
"""VA Non-Service Connected Disability Pension""",5,2,1
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",11,0,2
"""General Assistance (GA)""",1,0,1
"""Retirement Income from Social Security""",7,2,2
"""Pension or retirement income from a former job""",1,0,1
"""Child Support""",18,0,4
"""Alimony and other spousal support""",0,0,0
"""Other Source""",0,0,0
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,44,0
