"""Total Number of Persons Served""",594
"""Number of Adults (age 18 or over)""",430
"""Number of Children (under age 18)""",162
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",156
"""Number of Adult Leavers""",113
"""Number of Adult and Head of Household Leavers""",113
"""Number of Stayers""",438
"""Number of Adult Stayers""",317
"""Number of Veterans""",35
"""Number of Chronically Homeless Persons""",67
"""Number of Youth Under Age 25""",23
"""Number of Parenting Youth Under Age 25 with Children""",4
"""Number of Adult Heads of Household""",357
"""Number of Child and Unknown-Age Heads of Household""",2
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",112
