, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",147,8,49
"""$1 -  $150""",5,1,3
"""$151 - $250""",3,0,0
"""$251 - $500""",16,0,2
"""$501 - $1000""",84,10,22
"""$1001 - $1500""",66,11,9
"""$1501 - $2000""",28,6,7
"""$2001+""",30,3,7
"""Client Doesn't Know/Client Refused""",3,0,3
"""Data Not Collected""",48,5,11
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,205,0
"""Number of Adult Stayers without Required Annual Assessment""",0,68,0
"""Total Adults""",430,317,113
