persons_served,total,population,start_date,end_date,question,household_type,count
Adults,536,all_persons,2018-12-01,2018-12-31,Q7a,without_children,399
Adults,536,all_persons,2018-12-01,2018-12-31,Q7a,with_children_and_adults,137
Adults,536,all_persons,2018-12-01,2018-12-31,Q7a,with_only_children,0
Adults,536,all_persons,2018-12-01,2018-12-31,Q7a,unknown_household_type,0
Children,225,all_persons,2018-12-01,2018-12-31,Q7a,without_children,0
Children,225,all_persons,2018-12-01,2018-12-31,Q7a,with_children_and_adults,216
Children,225,all_persons,2018-12-01,2018-12-31,Q7a,with_only_children,9
Children,225,all_persons,2018-12-01,2018-12-31,Q7a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2018-12-01,2018-12-31,Q7a,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2018-12-01,2018-12-31,Q7a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2018-12-01,2018-12-31,Q7a,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2018-12-01,2018-12-31,Q7a,unknown_household_type,0
Data Not Collected,1,all_persons,2018-12-01,2018-12-31,Q7a,without_children,0
Data Not Collected,1,all_persons,2018-12-01,2018-12-31,Q7a,with_children_and_adults,0
Data Not Collected,1,all_persons,2018-12-01,2018-12-31,Q7a,with_only_children,0
Data Not Collected,1,all_persons,2018-12-01,2018-12-31,Q7a,unknown_household_type,1
For PSH and RRH - the total persons served who moved into housing,170,all_persons,2018-12-01,2018-12-31,Q7a,without_children,86
For PSH and RRH - the total persons served who moved into housing,170,all_persons,2018-12-01,2018-12-31,Q7a,with_children_and_adults,84
For PSH and RRH - the total persons served who moved into housing,170,all_persons,2018-12-01,2018-12-31,Q7a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,170,all_persons,2018-12-01,2018-12-31,Q7a,unknown_household_type,0
