count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2018-12-01,2018-12-31,Q20b,benefit_at_entry,305
No Sources,all_persons,2018-12-01,2018-12-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,19
No Sources,all_persons,2018-12-01,2018-12-31,Q20b,benefit_at_exit_for_leavers,98
1 + Source(s),all_persons,2018-12-01,2018-12-31,Q20b,benefit_at_entry,198
1 + Source(s),all_persons,2018-12-01,2018-12-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,29
1 + Source(s),all_persons,2018-12-01,2018-12-31,Q20b,benefit_at_exit_for_leavers,66
Client Doesn't Know/Client Refused,all_persons,2018-12-01,2018-12-31,Q20b,benefit_at_entry,1
Client Doesn't Know/Client Refused,all_persons,2018-12-01,2018-12-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2018-12-01,2018-12-31,Q20b,benefit_at_exit_for_leavers,1
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2018-12-01,2018-12-31,Q20b,benefit_at_entry,32
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2018-12-01,2018-12-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,315
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2018-12-01,2018-12-31,Q20b,benefit_at_exit_for_leavers,8
