number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_start,107
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_annual_assessment_stayers,5
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_exit_leavers,28
Adults with Only Other Income,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_start,140
Adults with Only Other Income,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_annual_assessment_stayers,34
Adults with Only Other Income,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_exit_leavers,45
Adults with Both Earned and Other Income,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_start,25
Adults with Both Earned and Other Income,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_annual_assessment_stayers,3
Adults with Both Earned and Other Income,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_exit_leavers,7
Adults with No Income,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_start,258
Adults with No Income,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_annual_assessment_stayers,11
Adults with No Income,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_exit_leavers,91
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_start,2
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_exit_leavers,2
Adults with Missing Income Information,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_start,4
Adults with Missing Income Information,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_annual_assessment_stayers,255
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_annual_assessment_stayers,55
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_start,536
Total Adults,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_annual_assessment_stayers,363
Total Adults,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_exit_leavers,173
1 or More Source of Income,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_start,297
1 or More Source of Income,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_annual_assessment_stayers,45
1 or More Source of Income,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_exit_leavers,86
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_annual_assessment_stayers,53
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-12-01,2018-12-31,Q18,number_of_adults_at_exit_leavers,0
