income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,5,19,24,0.21,1,11,12,0.08,0,0,0,0.0,adults,2018-12-01,2018-12-31,Q19b
Supplemental Security Income (SSI),18,2,20,0.9,4,3,7,0.57,0,0,0,0.0,adults,2018-12-01,2018-12-31,Q19b
Social Security Disability Insurance (SSDI),19,1,20,0.95,2,1,3,0.67,0,0,0,0.0,adults,2018-12-01,2018-12-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-12-01,2018-12-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-12-01,2018-12-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-12-01,2018-12-31,Q19b
Temporary Assistance for Needy Families (TANF),1,1,2,0.5,0,1,1,0.0,0,0,0,0.0,adults,2018-12-01,2018-12-31,Q19b
Retirement Income from Social Security,1,1,2,0.5,0,0,0,0.0,0,0,0,0.0,adults,2018-12-01,2018-12-31,Q19b
Pension or retirement income from a former job,2,1,3,0.67,0,0,0,0.0,0,0,0,0.0,adults,2018-12-01,2018-12-31,Q19b
Child Support,0,1,1,0.0,0,1,1,0.0,0,0,0,0.0,adults,2018-12-01,2018-12-31,Q19b
Other source,2,3,5,0.4,1,1,2,0.5,0,0,0,0.0,adults,2018-12-01,2018-12-31,Q19b
No Sources,16,40,56,0.29,0,7,7,0.0,0,0,0,0.0,adults,2018-12-01,2018-12-31,Q19b
Unduplicated Total Adults,54,63,117,NA,6,21,27,NA,0,0,0,NA,adults,2018-12-01,2018-12-31,Q19b
