veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,16,all_households,2018-12-01,2018-12-31,Q25b,without_children,16
Chronically Homeless Veteran,16,all_households,2018-12-01,2018-12-31,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,16,all_households,2018-12-01,2018-12-31,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,23,all_households,2018-12-01,2018-12-31,Q25b,without_children,20
Non-Chronically Homeless Veteran,23,all_households,2018-12-01,2018-12-31,Q25b,with_children_and_adults,3
Non-Chronically Homeless Veteran,23,all_households,2018-12-01,2018-12-31,Q25b,unknown_household_type,0
Not a Veteran,420,all_households,2018-12-01,2018-12-31,Q25b,without_children,332
Not a Veteran,420,all_households,2018-12-01,2018-12-31,Q25b,with_children_and_adults,88
Not a Veteran,420,all_households,2018-12-01,2018-12-31,Q25b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_households,2018-12-01,2018-12-31,Q25b,without_children,0
Client Doesn't Know/Client Refused,0,all_households,2018-12-01,2018-12-31,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_households,2018-12-01,2018-12-31,Q25b,unknown_household_type,0
Data Not Collected,1,all_households,2018-12-01,2018-12-31,Q25b,without_children,1
Data Not Collected,1,all_households,2018-12-01,2018-12-31,Q25b,with_children_and_adults,0
Data Not Collected,1,all_households,2018-12-01,2018-12-31,Q25b,unknown_household_type,0
