dv_fleeing,total,population,start_date,end_date,question,household_type,count
Yes,18,all_persons,2018-12-01,2018-12-31,Q14b,without_children,8
Yes,18,all_persons,2018-12-01,2018-12-31,Q14b,with_children_and_adults,10
Yes,18,all_persons,2018-12-01,2018-12-31,Q14b,with_only_children,0
Yes,18,all_persons,2018-12-01,2018-12-31,Q14b,unknown_household_type,0
No,89,all_persons,2018-12-01,2018-12-31,Q14b,without_children,66
No,89,all_persons,2018-12-01,2018-12-31,Q14b,with_children_and_adults,23
No,89,all_persons,2018-12-01,2018-12-31,Q14b,with_only_children,0
No,89,all_persons,2018-12-01,2018-12-31,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2018-12-01,2018-12-31,Q14b,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2018-12-01,2018-12-31,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2018-12-01,2018-12-31,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2018-12-01,2018-12-31,Q14b,unknown_household_type,0
Data Not Collected,1,all_persons,2018-12-01,2018-12-31,Q14b,without_children,1
Data Not Collected,1,all_persons,2018-12-01,2018-12-31,Q14b,with_children_and_adults,0
Data Not Collected,1,all_persons,2018-12-01,2018-12-31,Q14b,with_only_children,0
Data Not Collected,1,all_persons,2018-12-01,2018-12-31,Q14b,unknown_household_type,0
