count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,418,90,192,all_persons,2018-12-01,2018-12-31,Q13a2,without_children,128
None,418,90,192,all_persons,2018-12-01,2018-12-31,Q13a2,with_only_children,8
None,418,90,192,all_persons,2018-12-01,2018-12-31,Q13a2,unknown_household_type,0
1 Condition,188,36,11,all_persons,2018-12-01,2018-12-31,Q13a2,without_children,141
1 Condition,188,36,11,all_persons,2018-12-01,2018-12-31,Q13a2,with_only_children,0
1 Condition,188,36,11,all_persons,2018-12-01,2018-12-31,Q13a2,unknown_household_type,0
2 Conditions,75,7,5,all_persons,2018-12-01,2018-12-31,Q13a2,without_children,63
2 Conditions,75,7,5,all_persons,2018-12-01,2018-12-31,Q13a2,with_only_children,0
2 Conditions,75,7,5,all_persons,2018-12-01,2018-12-31,Q13a2,unknown_household_type,0
3+ Conditions,56,1,1,all_persons,2018-12-01,2018-12-31,Q13a2,without_children,54
3+ Conditions,56,1,1,all_persons,2018-12-01,2018-12-31,Q13a2,with_only_children,0
3+ Conditions,56,1,1,all_persons,2018-12-01,2018-12-31,Q13a2,unknown_household_type,0
Condition Unknown,10,2,1,all_persons,2018-12-01,2018-12-31,Q13a2,without_children,7
Condition Unknown,10,2,1,all_persons,2018-12-01,2018-12-31,Q13a2,with_only_children,0
Condition Unknown,10,2,1,all_persons,2018-12-01,2018-12-31,Q13a2,unknown_household_type,0
Client Doesn't Know/Client Refused,2,0,0,all_persons,2018-12-01,2018-12-31,Q13a2,without_children,2
Client Doesn't Know/Client Refused,2,0,0,all_persons,2018-12-01,2018-12-31,Q13a2,with_only_children,0
Client Doesn't Know/Client Refused,2,0,0,all_persons,2018-12-01,2018-12-31,Q13a2,unknown_household_type,0
Data Not Collected,13,1,6,all_persons,2018-12-01,2018-12-31,Q13a2,without_children,4
Data Not Collected,13,1,6,all_persons,2018-12-01,2018-12-31,Q13a2,with_only_children,1
Data Not Collected,13,1,6,all_persons,2018-12-01,2018-12-31,Q13a2,unknown_household_type,1
