count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2022-05-01,2022-05-31,Q20b,benefit_at_entry,745
No Sources,all_persons,2022-05-01,2022-05-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,24
No Sources,all_persons,2022-05-01,2022-05-31,Q20b,benefit_at_exit_for_leavers,77
1 + Source(s),all_persons,2022-05-01,2022-05-31,Q20b,benefit_at_entry,450
1 + Source(s),all_persons,2022-05-01,2022-05-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,29
1 + Source(s),all_persons,2022-05-01,2022-05-31,Q20b,benefit_at_exit_for_leavers,63
Client Doesn't Know/Client Refused,all_persons,2022-05-01,2022-05-31,Q20b,benefit_at_entry,7
Client Doesn't Know/Client Refused,all_persons,2022-05-01,2022-05-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2022-05-01,2022-05-31,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2022-05-01,2022-05-31,Q20b,benefit_at_entry,231
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2022-05-01,2022-05-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,1171
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2022-05-01,2022-05-31,Q20b,benefit_at_exit_for_leavers,69
