veteran_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,24,all_persons,2022-05-01,2022-05-31,Q25a,without_children,24
Chronically Homeless Veteran,24,all_persons,2022-05-01,2022-05-31,Q25a,with_children_and_adults,0
Chronically Homeless Veteran,24,all_persons,2022-05-01,2022-05-31,Q25a,unknown_household_type,0
Non-Chronically Homeless Veteran,60,all_persons,2022-05-01,2022-05-31,Q25a,without_children,56
Non-Chronically Homeless Veteran,60,all_persons,2022-05-01,2022-05-31,Q25a,with_children_and_adults,4
Non-Chronically Homeless Veteran,60,all_persons,2022-05-01,2022-05-31,Q25a,unknown_household_type,0
Not a Veteran,1320,all_persons,2022-05-01,2022-05-31,Q25a,without_children,1014
Not a Veteran,1320,all_persons,2022-05-01,2022-05-31,Q25a,with_children_and_adults,301
Not a Veteran,1320,all_persons,2022-05-01,2022-05-31,Q25a,unknown_household_type,5
Client Doesn't Know/Client Refused,5,all_persons,2022-05-01,2022-05-31,Q25a,without_children,5
Client Doesn't Know/Client Refused,5,all_persons,2022-05-01,2022-05-31,Q25a,with_children_and_adults,0
Client Doesn't Know/Client Refused,5,all_persons,2022-05-01,2022-05-31,Q25a,unknown_household_type,0
Data Not Collected,24,all_persons,2022-05-01,2022-05-31,Q25a,without_children,19
Data Not Collected,24,all_persons,2022-05-01,2022-05-31,Q25a,with_children_and_adults,5
Data Not Collected,24,all_persons,2022-05-01,2022-05-31,Q25a,unknown_household_type,0
