income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,14,16,30,0.47,3,9,12,0.25,0,0,0,0.0,adults,2022-05-01,2022-05-31,Q19b
Supplemental Security Income (SSI),17,1,18,0.94,2,0,2,1.0,0,0,0,0.0,adults,2022-05-01,2022-05-31,Q19b
Social Security Disability Insurance (SSDI),11,0,11,1.0,1,0,1,1.0,0,0,0,0.0,adults,2022-05-01,2022-05-31,Q19b
VA Service-Connected Disability Compensation,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2022-05-01,2022-05-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2022-05-01,2022-05-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2022-05-01,2022-05-31,Q19b
Temporary Assistance for Needy Families (TANF),2,3,5,0.4,0,1,1,0.0,0,0,0,0.0,adults,2022-05-01,2022-05-31,Q19b
Retirement Income from Social Security,0,2,3,0.0,0,0,0,0.0,0,0,0,0.0,adults,2022-05-01,2022-05-31,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2022-05-01,2022-05-31,Q19b
Child Support,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2022-05-01,2022-05-31,Q19b
Other source,2,1,3,0.67,0,0,0,0.0,0,0,0,0.0,adults,2022-05-01,2022-05-31,Q19b
No Sources,18,16,34,0.53,2,11,13,0.15,0,0,0,0.0,adults,2022-05-01,2022-05-31,Q19b
Unduplicated Total Adults,54,37,91,NA,7,20,27,NA,0,0,0,NA,adults,2022-05-01,2022-05-31,Q19b
