dv_fleeing,total,population,start_date,end_date,question,household_type,count
Yes,62,all_persons,2022-05-01,2022-05-31,Q14b,without_children,49
Yes,62,all_persons,2022-05-01,2022-05-31,Q14b,with_children_and_adults,13
Yes,62,all_persons,2022-05-01,2022-05-31,Q14b,with_only_children,0
Yes,62,all_persons,2022-05-01,2022-05-31,Q14b,unknown_household_type,0
No,238,all_persons,2022-05-01,2022-05-31,Q14b,without_children,187
No,238,all_persons,2022-05-01,2022-05-31,Q14b,with_children_and_adults,51
No,238,all_persons,2022-05-01,2022-05-31,Q14b,with_only_children,0
No,238,all_persons,2022-05-01,2022-05-31,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2022-05-01,2022-05-31,Q14b,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2022-05-01,2022-05-31,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2022-05-01,2022-05-31,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2022-05-01,2022-05-31,Q14b,unknown_household_type,0
Data Not Collected,14,all_persons,2022-05-01,2022-05-31,Q14b,without_children,12
Data Not Collected,14,all_persons,2022-05-01,2022-05-31,Q14b,with_children_and_adults,2
Data Not Collected,14,all_persons,2022-05-01,2022-05-31,Q14b,with_only_children,0
Data Not Collected,14,all_persons,2022-05-01,2022-05-31,Q14b,unknown_household_type,0
