conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,42,4,1,all_persons,2022-05-01,2022-05-31,Q13b1,without_children,37
Mental Health Disorder,42,4,1,all_persons,2022-05-01,2022-05-31,Q13b1,with_only_children,0
Mental Health Disorder,42,4,1,all_persons,2022-05-01,2022-05-31,Q13b1,unknown_household_type,0
Alcohol Use Disorder,6,0,0,all_persons,2022-05-01,2022-05-31,Q13b1,without_children,6
Alcohol Use Disorder,6,0,0,all_persons,2022-05-01,2022-05-31,Q13b1,with_only_children,0
Alcohol Use Disorder,6,0,0,all_persons,2022-05-01,2022-05-31,Q13b1,unknown_household_type,0
Drug Use Disorder,12,2,0,all_persons,2022-05-01,2022-05-31,Q13b1,without_children,10
Drug Use Disorder,12,2,0,all_persons,2022-05-01,2022-05-31,Q13b1,with_only_children,0
Drug Use Disorder,12,2,0,all_persons,2022-05-01,2022-05-31,Q13b1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,4,0,0,all_persons,2022-05-01,2022-05-31,Q13b1,without_children,4
Both Alcohol and Drug Use Disorders,4,0,0,all_persons,2022-05-01,2022-05-31,Q13b1,with_only_children,0
Both Alcohol and Drug Use Disorders,4,0,0,all_persons,2022-05-01,2022-05-31,Q13b1,unknown_household_type,0
Chronic Health Condition,18,2,0,all_persons,2022-05-01,2022-05-31,Q13b1,without_children,16
Chronic Health Condition,18,2,0,all_persons,2022-05-01,2022-05-31,Q13b1,with_only_children,0
Chronic Health Condition,18,2,0,all_persons,2022-05-01,2022-05-31,Q13b1,unknown_household_type,0
HIV/AIDS,1,0,0,all_persons,2022-05-01,2022-05-31,Q13b1,without_children,1
HIV/AIDS,1,0,0,all_persons,2022-05-01,2022-05-31,Q13b1,with_only_children,0
HIV/AIDS,1,0,0,all_persons,2022-05-01,2022-05-31,Q13b1,unknown_household_type,0
Development Disability,7,0,2,all_persons,2022-05-01,2022-05-31,Q13b1,without_children,5
Development Disability,7,0,2,all_persons,2022-05-01,2022-05-31,Q13b1,with_only_children,0
Development Disability,7,0,2,all_persons,2022-05-01,2022-05-31,Q13b1,unknown_household_type,0
Physical Disability,21,3,0,all_persons,2022-05-01,2022-05-31,Q13b1,without_children,18
Physical Disability,21,3,0,all_persons,2022-05-01,2022-05-31,Q13b1,with_only_children,0
Physical Disability,21,3,0,all_persons,2022-05-01,2022-05-31,Q13b1,unknown_household_type,0
