length_participation,total,population,start_date,end_date,question,status,count
30 days or less,18,youth,2022-05-01,2022-05-31,Q27e,leavers,12
30 days or less,18,youth,2022-05-01,2022-05-31,Q27e,stayers,6
31 to 60 days,13,youth,2022-05-01,2022-05-31,Q27e,leavers,3
31 to 60 days,13,youth,2022-05-01,2022-05-31,Q27e,stayers,10
61 to 90 days,6,youth,2022-05-01,2022-05-31,Q27e,leavers,0
61 to 90 days,6,youth,2022-05-01,2022-05-31,Q27e,stayers,6
91 to 180 days,17,youth,2022-05-01,2022-05-31,Q27e,leavers,1
91 to 180 days,17,youth,2022-05-01,2022-05-31,Q27e,stayers,16
181 to 365 days,23,youth,2022-05-01,2022-05-31,Q27e,leavers,1
181 to 365 days,23,youth,2022-05-01,2022-05-31,Q27e,stayers,22
366 to 730 Days (1-2 Yrs),6,youth,2022-05-01,2022-05-31,Q27e,leavers,0
366 to 730 Days (1-2 Yrs),6,youth,2022-05-01,2022-05-31,Q27e,stayers,6
"731 to 1,095 Days (2-3 Yrs)",7,youth,2022-05-01,2022-05-31,Q27e,leavers,0
"731 to 1,095 Days (2-3 Yrs)",7,youth,2022-05-01,2022-05-31,Q27e,stayers,7
"1,096 to 1,460 Days (3-4 Yrs)",6,youth,2022-05-01,2022-05-31,Q27e,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",6,youth,2022-05-01,2022-05-31,Q27e,stayers,6
"1,461 to 1,825 Days (5-5 Yrs)",5,youth,2022-05-01,2022-05-31,Q27e,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",5,youth,2022-05-01,2022-05-31,Q27e,stayers,5
"More than 1,825 Days (>5 Yrs)",6,youth,2022-05-01,2022-05-31,Q27e,leavers,0
"More than 1,825 Days (>5 Yrs)",6,youth,2022-05-01,2022-05-31,Q27e,stayers,6
Data Not Collected,0,youth,2022-05-01,2022-05-31,Q27e,leavers,0
Data Not Collected,0,youth,2022-05-01,2022-05-31,Q27e,stayers,0
