, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",11,8,3,0,0
"""8 to 14 days""",2,2,0,0,0
"""15 to 21 days""",2,0,2,0,0
"""22 to 30 days""",3,1,2,0,0
"""31 to 60 days""",12,2,10,0,0
"""61 to 180 days""",34,11,23,0,0
"""181 to 365 days""",18,8,10,0,0
"""366-730 days (1-2 years)""",21,21,0,0,0
"""731 days or more""",22,22,0,0,0
"""Total (persons moved into housing)""",125,75,50,0,0
"""Not yet moved into housing""",33,15,18,0,0
"""Data not collected""",45,24,21,0,0
"""Total persons""",203,114,89,0,0
