"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",107,2,24
"""Adults with Only Other Income""",104,22,17
"""Adults with Both Earned and Other Income""",19,0,9
"""Adults with No Income""",142,10,22
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",6,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,200,0
"""Number of Adult Stayers without Required Annual Assessment""",0,72,0
"""Total Adults""",378,306,72
"""1 or More Source of Income""",246,28,52
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,34,0
