, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",92,65,27,0,0
"""Transitional housing for homeless persons (including homeless youth)""",3,3,0,0,0
"""Place not meant for human habitation""",36,27,7,0,2
"""Safe Haven""",1,1,0,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",132,96,34,0,2
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",1,1,0,0,0
"""Substance abuse treatment facility or detox center""",0,0,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",3,3,0,0,0
"""Jail, prison or juvenile detention facility""",2,2,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Subtotal""",6,6,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",2,2,0,0,0
"""Owned by client, no ongoing housing subsidy""",15,10,5,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",143,103,40,0,0
"""Rental by client, with VASH housing subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",7,4,3,0,0
"""Hotel or motel paid for without emergency shelter voucher""",16,8,8,0,0
"""Staying or living in a friend''s room, apartment or house""",24,13,10,1,0
"""Staying or living in a family member''s room, apartment or house""",29,19,10,0,0
"""Client Doesn''t Know/Client Refused""",0,0,0,0,0
"""Data not collected""",5,4,0,0,1
"""Subtotal""",241,163,76,1,1
"""Total""",379,265,110,1,3
