"""Total Number of Persons Served""",533
"""Number of Adults (age 18 or over)""",378
"""Number of Children (under age 18)""",152
"""Number of Persons with Unknown Age""",3
"""Number of Leavers""",122
"""Number of Adult Leavers""",72
"""Number of Adult and Head of Household Leavers""",73
"""Number of Stayers""",411
"""Number of Adult Stayers""",306
"""Number of Veterans""",22
"""Number of Chronically Homeless Persons""",46
"""Number of Youth Under Age 25""",24
"""Number of Parenting Youth Under Age 25 with Children""",8
"""Number of Adult Heads of Household""",310
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",108
