veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,19,all_households,2017-01-01,2017-01-31,Q25b,without_children,19
Chronically Homeless Veteran,19,all_households,2017-01-01,2017-01-31,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,19,all_households,2017-01-01,2017-01-31,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,5,all_households,2017-01-01,2017-01-31,Q25b,without_children,5
Non-Chronically Homeless Veteran,5,all_households,2017-01-01,2017-01-31,Q25b,with_children_and_adults,0
Non-Chronically Homeless Veteran,5,all_households,2017-01-01,2017-01-31,Q25b,unknown_household_type,0
Not a Veteran,370,all_households,2017-01-01,2017-01-31,Q25b,without_children,282
Not a Veteran,370,all_households,2017-01-01,2017-01-31,Q25b,with_children_and_adults,88
Not a Veteran,370,all_households,2017-01-01,2017-01-31,Q25b,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_households,2017-01-01,2017-01-31,Q25b,without_children,1
Client Doesn't Know/Client Refused,1,all_households,2017-01-01,2017-01-31,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_households,2017-01-01,2017-01-31,Q25b,unknown_household_type,0
Data Not Collected,12,all_households,2017-01-01,2017-01-31,Q25b,without_children,12
Data Not Collected,12,all_households,2017-01-01,2017-01-31,Q25b,with_children_and_adults,0
Data Not Collected,12,all_households,2017-01-01,2017-01-31,Q25b,unknown_household_type,0
