income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,1,18,19,0.05,6,26,32,0.19,0,0,0,0.0,adults,2017-01-01,2017-01-31,Q19b
Supplemental Security Income (SSI),8,1,9,0.89,4,2,6,0.67,0,0,0,0.0,adults,2017-01-01,2017-01-31,Q19b
Social Security Disability Insurance (SSDI),7,1,8,0.88,3,1,4,0.75,0,0,0,0.0,adults,2017-01-01,2017-01-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-01-01,2017-01-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-01-01,2017-01-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-01-01,2017-01-31,Q19b
Temporary Assistance for Needy Families (TANF),1,1,2,0.5,1,1,2,0.5,0,0,0,0.0,adults,2017-01-01,2017-01-31,Q19b
Retirement Income from Social Security,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-01-01,2017-01-31,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-01-01,2017-01-31,Q19b
Child Support,1,0,1,1.0,3,6,9,0.33,0,0,0,0.0,adults,2017-01-01,2017-01-31,Q19b
Other source,3,1,4,0.75,1,4,5,0.2,0,0,0,0.0,adults,2017-01-01,2017-01-31,Q19b
No Sources,11,27,38,0.29,4,12,16,0.25,0,0,0,0.0,adults,2017-01-01,2017-01-31,Q19b
Unduplicated Total Adults,27,47,74,NA,15,43,58,NA,0,0,0,NA,adults,2017-01-01,2017-01-31,Q19b
