number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_start,111
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_annual_assessment_stayers,0
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_exit_leavers,42
Adults with Only Other Income,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_start,138
Adults with Only Other Income,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_annual_assessment_stayers,16
Adults with Only Other Income,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_exit_leavers,26
Adults with Both Earned and Other Income,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_start,23
Adults with Both Earned and Other Income,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_annual_assessment_stayers,1
Adults with Both Earned and Other Income,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_exit_leavers,9
Adults with No Income,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_start,212
Adults with No Income,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_annual_assessment_stayers,7
Adults with No Income,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_exit_leavers,64
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_start,7
Adults with Missing Income Information,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_annual_assessment_stayers,234
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_annual_assessment_stayers,92
Number of Adult Stayers without Required Annual Assessment,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_start,491
Total Adults,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_annual_assessment_stayers,350
Total Adults,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_exit_leavers,141
1 or More Source of Income,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_start,286
1 or More Source of Income,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_annual_assessment_stayers,20
1 or More Source of Income,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_exit_leavers,84
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_annual_assessment_stayers,24
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2017-01-01,2017-01-31,Q18,number_of_adults_at_exit_leavers,0
