report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,703,all_persons,2017-01-01,2017-01-31,Q5a
Number of Adults (age 18 or over),491,all_persons,2017-01-01,2017-01-31,Q5a
Number of Children (under age 18),210,all_persons,2017-01-01,2017-01-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2017-01-01,2017-01-31,Q5a
Number of Leavers,221,all_persons,2017-01-01,2017-01-31,Q5a
Number of Adult Leavers,141,all_persons,2017-01-01,2017-01-31,Q5a
Number of Adult and Head of Household Leavers,141,all_persons,2017-01-01,2017-01-31,Q5a
Number of Stayers,482,all_persons,2017-01-01,2017-01-31,Q5a
Number of Adult Stayers,350,all_persons,2017-01-01,2017-01-31,Q5a
Number of Veterans,24,all_persons,2017-01-01,2017-01-31,Q5a
Number of Chronically Homeless Persons,62,all_persons,2017-01-01,2017-01-31,Q5a
Number of Youth Under Age 25,24,all_persons,2017-01-01,2017-01-31,Q5a
Number of Parenting Youth Under Age 25 with Children,13,all_persons,2017-01-01,2017-01-31,Q5a
Number of Adult Heads of Household,408,all_persons,2017-01-01,2017-01-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2017-01-01,2017-01-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,116,all_persons,2017-01-01,2017-01-31,Q5a
