count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,383,99,185,all_persons,2017-01-01,2017-01-31,Q13a2,without_children,93
None,383,99,185,all_persons,2017-01-01,2017-01-31,Q13a2,with_only_children,6
None,383,99,185,all_persons,2017-01-01,2017-01-31,Q13a2,unknown_household_type,0
1 Condition,170,30,11,all_persons,2017-01-01,2017-01-31,Q13a2,without_children,129
1 Condition,170,30,11,all_persons,2017-01-01,2017-01-31,Q13a2,with_only_children,0
1 Condition,170,30,11,all_persons,2017-01-01,2017-01-31,Q13a2,unknown_household_type,0
2 Conditions,87,9,5,all_persons,2017-01-01,2017-01-31,Q13a2,without_children,73
2 Conditions,87,9,5,all_persons,2017-01-01,2017-01-31,Q13a2,with_only_children,0
2 Conditions,87,9,5,all_persons,2017-01-01,2017-01-31,Q13a2,unknown_household_type,0
3+ Conditions,47,3,0,all_persons,2017-01-01,2017-01-31,Q13a2,without_children,44
3+ Conditions,47,3,0,all_persons,2017-01-01,2017-01-31,Q13a2,with_only_children,0
3+ Conditions,47,3,0,all_persons,2017-01-01,2017-01-31,Q13a2,unknown_household_type,0
Condition Unknown,9,2,2,all_persons,2017-01-01,2017-01-31,Q13a2,without_children,5
Condition Unknown,9,2,2,all_persons,2017-01-01,2017-01-31,Q13a2,with_only_children,0
Condition Unknown,9,2,2,all_persons,2017-01-01,2017-01-31,Q13a2,unknown_household_type,0
Client Doesn't Know/Client Refused,1,0,0,all_persons,2017-01-01,2017-01-31,Q13a2,without_children,1
Client Doesn't Know/Client Refused,1,0,0,all_persons,2017-01-01,2017-01-31,Q13a2,with_only_children,0
Client Doesn't Know/Client Refused,1,0,0,all_persons,2017-01-01,2017-01-31,Q13a2,unknown_household_type,0
Data Not Collected,6,0,0,all_persons,2017-01-01,2017-01-31,Q13a2,without_children,2
Data Not Collected,6,0,0,all_persons,2017-01-01,2017-01-31,Q13a2,with_only_children,1
Data Not Collected,6,0,0,all_persons,2017-01-01,2017-01-31,Q13a2,unknown_household_type,3
