report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1199,all_persons,2019-11-01,2019-11-30,Q5a
Number of Adults (age 18 or over),865,all_persons,2019-11-01,2019-11-30,Q5a
Number of Children (under age 18),325,all_persons,2019-11-01,2019-11-30,Q5a
Number of Persons with Unknown Age,9,all_persons,2019-11-01,2019-11-30,Q5a
Number of Leavers,301,all_persons,2019-11-01,2019-11-30,Q5a
Number of Adult Leavers,264,all_persons,2019-11-01,2019-11-30,Q5a
Number of Adult and Head of Household Leavers,265,all_persons,2019-11-01,2019-11-30,Q5a
Number of Stayers,898,all_persons,2019-11-01,2019-11-30,Q5a
Number of Adult Stayers,601,all_persons,2019-11-01,2019-11-30,Q5a
Number of Veterans,43,all_persons,2019-11-01,2019-11-30,Q5a
Number of Chronically Homeless Persons,116,all_persons,2019-11-01,2019-11-30,Q5a
Number of Youth Under Age 25,75,all_persons,2019-11-01,2019-11-30,Q5a
Number of Parenting Youth Under Age 25 with Children,11,all_persons,2019-11-01,2019-11-30,Q5a
Number of Adult Heads of Household,698,all_persons,2019-11-01,2019-11-30,Q5a
Number of Child and Unknown-Age Heads of Household,2,all_persons,2019-11-01,2019-11-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,163,all_persons,2019-11-01,2019-11-30,Q5a
