length_participation,total,population,start_date,end_date,question,status,count
30 days or less,27,youth,2019-11-01,2019-11-30,Q27e,leavers,16
30 days or less,27,youth,2019-11-01,2019-11-30,Q27e,stayers,11
31 to 60 days,5,youth,2019-11-01,2019-11-30,Q27e,leavers,2
31 to 60 days,5,youth,2019-11-01,2019-11-30,Q27e,stayers,3
61 to 90 days,9,youth,2019-11-01,2019-11-30,Q27e,leavers,1
61 to 90 days,9,youth,2019-11-01,2019-11-30,Q27e,stayers,8
91 to 180 days,10,youth,2019-11-01,2019-11-30,Q27e,leavers,0
91 to 180 days,10,youth,2019-11-01,2019-11-30,Q27e,stayers,10
181 to 365 days,13,youth,2019-11-01,2019-11-30,Q27e,leavers,2
181 to 365 days,13,youth,2019-11-01,2019-11-30,Q27e,stayers,11
366 to 730 Days (1-2 Yrs),5,youth,2019-11-01,2019-11-30,Q27e,leavers,0
366 to 730 Days (1-2 Yrs),5,youth,2019-11-01,2019-11-30,Q27e,stayers,5
"731 to 1,095 Days (2-3 Yrs)",0,youth,2019-11-01,2019-11-30,Q27e,leavers,0
"731 to 1,095 Days (2-3 Yrs)",0,youth,2019-11-01,2019-11-30,Q27e,stayers,0
"1,096 to 1,460 Days (3-4 Yrs)",5,youth,2019-11-01,2019-11-30,Q27e,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",5,youth,2019-11-01,2019-11-30,Q27e,stayers,5
"1,461 to 1,825 Days (5-5 Yrs)",0,youth,2019-11-01,2019-11-30,Q27e,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",0,youth,2019-11-01,2019-11-30,Q27e,stayers,0
"More than 1,825 Days (>5 Yrs)",1,youth,2019-11-01,2019-11-30,Q27e,leavers,0
"More than 1,825 Days (>5 Yrs)",1,youth,2019-11-01,2019-11-30,Q27e,stayers,1
Data Not Collected,0,youth,2019-11-01,2019-11-30,Q27e,leavers,0
Data Not Collected,0,youth,2019-11-01,2019-11-30,Q27e,stayers,0
