non_cash_benefits,population,start_date,end_date,question,status,count
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2019-11-01,2019-11-30,Q20a,benefit_at_start,246
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2019-11-01,2019-11-30,Q20a,benefit_at_latest_annual_assessment_for_stayers,33
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2019-11-01,2019-11-30,Q20a,benefit_at_exit_for_leavers,74
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2019-11-01,2019-11-30,Q20a,benefit_at_start,24
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2019-11-01,2019-11-30,Q20a,benefit_at_latest_annual_assessment_for_stayers,1
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2019-11-01,2019-11-30,Q20a,benefit_at_exit_for_leavers,5
TANF Child Care Services,all_persons,2019-11-01,2019-11-30,Q20a,benefit_at_start,6
TANF Child Care Services,all_persons,2019-11-01,2019-11-30,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,all_persons,2019-11-01,2019-11-30,Q20a,benefit_at_exit_for_leavers,0
TANF Transportation Services,all_persons,2019-11-01,2019-11-30,Q20a,benefit_at_start,0
TANF Transportation Services,all_persons,2019-11-01,2019-11-30,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,all_persons,2019-11-01,2019-11-30,Q20a,benefit_at_exit_for_leavers,0
Other TANF-Funded Services,all_persons,2019-11-01,2019-11-30,Q20a,benefit_at_start,3
Other TANF-Funded Services,all_persons,2019-11-01,2019-11-30,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,all_persons,2019-11-01,2019-11-30,Q20a,benefit_at_exit_for_leavers,0
Other Source,all_persons,2019-11-01,2019-11-30,Q20a,benefit_at_start,7
Other Source,all_persons,2019-11-01,2019-11-30,Q20a,benefit_at_latest_annual_assessment_for_stayers,10
Other Source,all_persons,2019-11-01,2019-11-30,Q20a,benefit_at_exit_for_leavers,1
