number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_start,218
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_annual_assessment_stayers,9
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_exit_leavers,48
Adults with Only Other Income,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_start,168
Adults with Only Other Income,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_annual_assessment_stayers,41
Adults with Only Other Income,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_exit_leavers,39
Adults with Both Earned and Other Income,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_start,45
Adults with Both Earned and Other Income,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_annual_assessment_stayers,2
Adults with Both Earned and Other Income,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_exit_leavers,14
Adults with No Income,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_start,406
Adults with No Income,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_annual_assessment_stayers,13
Adults with No Income,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_exit_leavers,159
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_start,1
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_start,21
Adults with Missing Income Information,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_exit_leavers,2
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_annual_assessment_stayers,438
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_annual_assessment_stayers,98
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_start,865
Total Adults,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_annual_assessment_stayers,601
Total Adults,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_exit_leavers,264
1 or More Source of Income,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_start,472
1 or More Source of Income,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_annual_assessment_stayers,54
1 or More Source of Income,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_exit_leavers,115
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_annual_assessment_stayers,65
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-11-01,2019-11-30,Q18,number_of_adults_at_exit_leavers,0
