income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,13,28,41,0.32,3,13,16,0.19,0,0,0,0.0,adults,2019-11-01,2019-11-30,Q19b
Supplemental Security Income (SSI),18,1,19,0.95,1,2,3,0.33,0,0,0,0.0,adults,2019-11-01,2019-11-30,Q19b
Social Security Disability Insurance (SSDI),13,2,15,0.87,0,0,0,0.0,0,0,0,0.0,adults,2019-11-01,2019-11-30,Q19b
VA Service-Connected Disability Compensation,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2019-11-01,2019-11-30,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2019-11-01,2019-11-30,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2019-11-01,2019-11-30,Q19b
Temporary Assistance for Needy Families (TANF),2,1,3,0.67,0,2,2,0.0,0,0,0,0.0,adults,2019-11-01,2019-11-30,Q19b
Retirement Income from Social Security,2,2,4,0.5,0,0,0,0.0,0,0,0,0.0,adults,2019-11-01,2019-11-30,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2019-11-01,2019-11-30,Q19b
Child Support,0,3,3,0.0,0,1,1,0.0,0,0,0,0.0,adults,2019-11-01,2019-11-30,Q19b
Other source,3,3,6,0.5,0,0,0,0.0,0,0,0,0.0,adults,2019-11-01,2019-11-30,Q19b
No Sources,22,42,64,0.34,1,1,2,0.5,0,0,0,0.0,adults,2019-11-01,2019-11-30,Q19b
Unduplicated Total Adults,63,75,138,NA,5,14,19,NA,0,0,0,NA,adults,2019-11-01,2019-11-30,Q19b
