conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,140,17,5,stayers,2019-11-01,2019-11-30,Q13c1,without_children,118
Mental Health Disorder,140,17,5,stayers,2019-11-01,2019-11-30,Q13c1,with_only_children,0
Mental Health Disorder,140,17,5,stayers,2019-11-01,2019-11-30,Q13c1,unknown_household_type,0
Alcohol Use Disorder,30,0,0,stayers,2019-11-01,2019-11-30,Q13c1,without_children,30
Alcohol Use Disorder,30,0,0,stayers,2019-11-01,2019-11-30,Q13c1,with_only_children,0
Alcohol Use Disorder,30,0,0,stayers,2019-11-01,2019-11-30,Q13c1,unknown_household_type,0
Drug Use Disorder,18,3,0,stayers,2019-11-01,2019-11-30,Q13c1,without_children,15
Drug Use Disorder,18,3,0,stayers,2019-11-01,2019-11-30,Q13c1,with_only_children,0
Drug Use Disorder,18,3,0,stayers,2019-11-01,2019-11-30,Q13c1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,21,1,0,stayers,2019-11-01,2019-11-30,Q13c1,without_children,20
Both Alcohol and Drug Use Disorders,21,1,0,stayers,2019-11-01,2019-11-30,Q13c1,with_only_children,0
Both Alcohol and Drug Use Disorders,21,1,0,stayers,2019-11-01,2019-11-30,Q13c1,unknown_household_type,0
Chronic Health Condition,70,8,1,stayers,2019-11-01,2019-11-30,Q13c1,without_children,61
Chronic Health Condition,70,8,1,stayers,2019-11-01,2019-11-30,Q13c1,with_only_children,0
Chronic Health Condition,70,8,1,stayers,2019-11-01,2019-11-30,Q13c1,unknown_household_type,0
HIV/AIDS,84,5,0,stayers,2019-11-01,2019-11-30,Q13c1,without_children,79
HIV/AIDS,84,5,0,stayers,2019-11-01,2019-11-30,Q13c1,with_only_children,0
HIV/AIDS,84,5,0,stayers,2019-11-01,2019-11-30,Q13c1,unknown_household_type,0
Development Disability,37,2,8,stayers,2019-11-01,2019-11-30,Q13c1,without_children,26
Development Disability,37,2,8,stayers,2019-11-01,2019-11-30,Q13c1,with_only_children,0
Development Disability,37,2,8,stayers,2019-11-01,2019-11-30,Q13c1,unknown_household_type,1
Physical Disability,86,12,1,stayers,2019-11-01,2019-11-30,Q13c1,without_children,73
Physical Disability,86,12,1,stayers,2019-11-01,2019-11-30,Q13c1,with_only_children,0
Physical Disability,86,12,1,stayers,2019-11-01,2019-11-30,Q13c1,unknown_household_type,0
