living_situation,total,population,start_date,end_date,question,category,household_type,count
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",104,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,without_children,79
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",104,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,with_children_and_adults,25
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",104,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,with_only_children,0
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",104,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,unknown_household_type,0
Transitional housing for homeless persons (including homeless youth),2,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,without_children,2
Transitional housing for homeless persons (including homeless youth),2,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,with_children_and_adults,0
Transitional housing for homeless persons (including homeless youth),2,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,with_only_children,0
Transitional housing for homeless persons (including homeless youth),2,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,unknown_household_type,0
Place not meant for human habitation,176,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,without_children,156
Place not meant for human habitation,176,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,with_children_and_adults,20
Place not meant for human habitation,176,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,with_only_children,0
Place not meant for human habitation,176,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,unknown_household_type,0
Safe Haven,3,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,without_children,3
Safe Haven,3,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,with_children_and_adults,0
Safe Haven,3,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,with_only_children,0
Safe Haven,3,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,unknown_household_type,0
Host Home,1,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,without_children,1
Host Home,1,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,with_children_and_adults,0
Host Home,1,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,with_only_children,0
Host Home,1,all_persons,2019-11-01,2019-11-30,Q15,Homeless Situations,unknown_household_type,0
Psychiatric hospital or other psychiatric facility,3,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,without_children,3
Psychiatric hospital or other psychiatric facility,3,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,with_children_and_adults,0
Psychiatric hospital or other psychiatric facility,3,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,with_only_children,0
Psychiatric hospital or other psychiatric facility,3,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,unknown_household_type,0
Substance abuse treatment facility or detox center,4,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,without_children,4
Substance abuse treatment facility or detox center,4,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,with_children_and_adults,0
Substance abuse treatment facility or detox center,4,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,with_only_children,0
Substance abuse treatment facility or detox center,4,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,unknown_household_type,0
Hospital or other residential non-psychiatric medical facility,15,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,without_children,15
Hospital or other residential non-psychiatric medical facility,15,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,with_children_and_adults,0
Hospital or other residential non-psychiatric medical facility,15,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,with_only_children,0
Hospital or other residential non-psychiatric medical facility,15,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,unknown_household_type,0
"Jail, prison or juvenile detention facility",18,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,without_children,18
"Jail, prison or juvenile detention facility",18,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,with_children_and_adults,0
"Jail, prison or juvenile detention facility",18,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,with_only_children,0
"Jail, prison or juvenile detention facility",18,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,unknown_household_type,0
Foster care home or foster care group home,1,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,without_children,1
Foster care home or foster care group home,1,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,with_children_and_adults,0
Foster care home or foster care group home,1,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,with_only_children,0
Foster care home or foster care group home,1,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,unknown_household_type,0
Long-term care facility or nursing home,0,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,without_children,0
Long-term care facility or nursing home,0,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,with_children_and_adults,0
Long-term care facility or nursing home,0,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,with_only_children,0
Long-term care facility or nursing home,0,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,unknown_household_type,0
Residential project or halfway house with no homeless criteria,4,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,without_children,4
Residential project or halfway house with no homeless criteria,4,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,with_children_and_adults,0
Residential project or halfway house with no homeless criteria,4,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,with_only_children,0
Residential project or halfway house with no homeless criteria,4,all_persons,2019-11-01,2019-11-30,Q15,Institutional Settings,unknown_household_type,0
Permanent housing (other than RRH) for formerly homeless persons,0,all_persons,2019-11-01,2019-11-30,Q15,Other Locations,without_children,0
Permanent housing (other than RRH) for formerly homeless persons,0,all_persons,2019-11-01,2019-11-30,Q15,Other Locations,with_children_and_adults,0
Permanent housing (other than RRH) for formerly homeless persons,0,all_persons,2019-11-01,2019-11-30,Q15,Other Locations,with_only_children,0
Permanent housing (other than RRH) for formerly homeless persons,0,all_persons,2019-11-01,2019-11-30,Q15,Other Locations,unknown_household_type,0
"Owned by client, no ongoing housing subsidy",10,all_persons,2019-11-01,2019-11-30,Q15,Other Locations,without_children,10
"Owned by client, no ongoing housing subsidy",10,all_persons,2019-11-01,2019-11-30,Q15,Other Locations,with_children_and_adults,0
"Owned by client, no ongoing housing subsidy",10,all_persons,2019-11-01,2019-11-30,Q15,Other Locations,with_only_children,0
"Owned by client, no ongoing housing subsidy",10,all_persons,2019-11-01,2019-11-30,Q15,Other Locations,unknown_household_type,0
"Owned by client, with ongoing housing subsidy",1,all_persons,2019-11-01,2019-11-30,Q15,Other Locations,without_children,1
"Owned by client, with ongoing housing subsidy",1,all_persons,2019-11-01,2019-11-30,Q15,Other Locations,with_children_and_adults,0
