length_participation,total,population,start_date,end_date,question,status,count
30 days or less,16,youth,2015-02-01,2015-02-28,Q27e,leavers,6
30 days or less,16,youth,2015-02-01,2015-02-28,Q27e,stayers,10
31 to 60 days,5,youth,2015-02-01,2015-02-28,Q27e,leavers,0
31 to 60 days,5,youth,2015-02-01,2015-02-28,Q27e,stayers,5
61 to 90 days,4,youth,2015-02-01,2015-02-28,Q27e,leavers,2
61 to 90 days,4,youth,2015-02-01,2015-02-28,Q27e,stayers,2
91 to 180 days,5,youth,2015-02-01,2015-02-28,Q27e,leavers,1
91 to 180 days,5,youth,2015-02-01,2015-02-28,Q27e,stayers,4
181 to 365 days,0,youth,2015-02-01,2015-02-28,Q27e,leavers,0
181 to 365 days,0,youth,2015-02-01,2015-02-28,Q27e,stayers,0
366 to 730 Days (1-2 Yrs),0,youth,2015-02-01,2015-02-28,Q27e,leavers,0
366 to 730 Days (1-2 Yrs),0,youth,2015-02-01,2015-02-28,Q27e,stayers,0
"731 to 1,095 Days (2-3 Yrs)",2,youth,2015-02-01,2015-02-28,Q27e,leavers,0
"731 to 1,095 Days (2-3 Yrs)",2,youth,2015-02-01,2015-02-28,Q27e,stayers,2
"1,096 to 1,460 Days (3-4 Yrs)",0,youth,2015-02-01,2015-02-28,Q27e,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",0,youth,2015-02-01,2015-02-28,Q27e,stayers,0
"1,461 to 1,825 Days (5-5 Yrs)",0,youth,2015-02-01,2015-02-28,Q27e,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",0,youth,2015-02-01,2015-02-28,Q27e,stayers,0
"More than 1,825 Days (>5 Yrs)",0,youth,2015-02-01,2015-02-28,Q27e,leavers,0
"More than 1,825 Days (>5 Yrs)",0,youth,2015-02-01,2015-02-28,Q27e,stayers,0
Data Not Collected,0,youth,2015-02-01,2015-02-28,Q27e,leavers,0
Data Not Collected,0,youth,2015-02-01,2015-02-28,Q27e,stayers,0
