ch_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,32,all_persons,2015-02-01,2015-02-28,Q26b,without_children,32
Chronically Homeless ,32,all_persons,2015-02-01,2015-02-28,Q26b,with_children_and_adults,0
Chronically Homeless ,32,all_persons,2015-02-01,2015-02-28,Q26b,with_only_children,0
Chronically Homeless ,32,all_persons,2015-02-01,2015-02-28,Q26b,unknown_household_type,0
Not Chronically Homeless,427,all_persons,2015-02-01,2015-02-28,Q26b,without_children,191
Not Chronically Homeless,427,all_persons,2015-02-01,2015-02-28,Q26b,with_children_and_adults,234
Not Chronically Homeless,427,all_persons,2015-02-01,2015-02-28,Q26b,with_only_children,2
Not Chronically Homeless,427,all_persons,2015-02-01,2015-02-28,Q26b,unknown_household_type,0
Client Doesn't Know/Client Refused,4,all_persons,2015-02-01,2015-02-28,Q26b,without_children,4
Client Doesn't Know/Client Refused,4,all_persons,2015-02-01,2015-02-28,Q26b,with_children_and_adults,0
Client Doesn't Know/Client Refused,4,all_persons,2015-02-01,2015-02-28,Q26b,with_only_children,0
Client Doesn't Know/Client Refused,4,all_persons,2015-02-01,2015-02-28,Q26b,unknown_household_type,0
Data Not Collected,136,all_persons,2015-02-01,2015-02-28,Q26b,without_children,107
Data Not Collected,136,all_persons,2015-02-01,2015-02-28,Q26b,with_children_and_adults,27
Data Not Collected,136,all_persons,2015-02-01,2015-02-28,Q26b,with_only_children,0
Data Not Collected,136,all_persons,2015-02-01,2015-02-28,Q26b,unknown_household_type,2
