income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,4,16,20,0.2,1,12,13,0.08,0,0,0,0.0,adults,2015-02-01,2015-02-28,Q19b
Supplemental Security Income (SSI),7,3,10,0.7,0,0,0,0.0,0,0,0,0.0,adults,2015-02-01,2015-02-28,Q19b
Social Security Disability Insurance (SSDI),13,2,15,0.87,3,0,3,1.0,0,0,0,0.0,adults,2015-02-01,2015-02-28,Q19b
VA Service-Connected Disability Compensation,1,1,2,0.5,0,0,0,0.0,0,0,0,0.0,adults,2015-02-01,2015-02-28,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-02-01,2015-02-28,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-02-01,2015-02-28,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0.0,0,2,2,0.0,0,0,0,0.0,adults,2015-02-01,2015-02-28,Q19b
Retirement Income from Social Security,1,2,3,0.33,0,0,0,0.0,0,0,0,0.0,adults,2015-02-01,2015-02-28,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-02-01,2015-02-28,Q19b
Child Support,0,3,3,0.0,1,3,4,0.25,0,0,0,0.0,adults,2015-02-01,2015-02-28,Q19b
Other source,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2015-02-01,2015-02-28,Q19b
No Sources,14,32,46,0.3,2,7,9,0.22,0,0,0,0.0,adults,2015-02-01,2015-02-28,Q19b
Unduplicated Total Adults,36,56,92,NA,6,23,29,NA,0,0,0,NA,adults,2015-02-01,2015-02-28,Q19b
