, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",189,154,34,0,1
"""Transitional housing for homeless persons (including homeless youth)""",2,2,0,0,0
"""Place not meant for human habitation""",317,287,30,0,0
"""Safe Haven""",7,6,1,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",515,449,65,0,1
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",10,10,0,0,0
"""Substance abuse treatment facility or detox center""",10,10,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",28,28,0,0,0
"""Jail, prison or juvenile detention facility""",39,39,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",6,5,1,0,0
"""Subtotal""",93,92,1,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",3,3,0,0,0
"""Owned by client, no ongoing housing subsidy""",11,10,1,0,0
"""Owned by client, with ongoing housing subsidy""",3,3,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",2,1,1,0,0
"""Rental by client in a public housing unit""",1,1,0,0,0
"""Rental by client, no ongoing housing subsidy""",216,152,61,0,3
"""Rental by client, with VASH housing subsidy""",1,0,1,0,0
"""Rental by client, with GPD TIP housing subsidy""",1,1,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",12,7,5,0,0
"""Hotel or motel paid for without emergency shelter voucher""",153,110,41,0,2
"""Staying or living in a friend''s room, apartment or house""",120,101,19,0,0
"""Staying or living in a family member''s room, apartment or house""",127,88,39,0,0
"""Client Doesn''t Know/Client Refused""",17,17,0,0,0
"""Data not collected""",49,27,20,0,2
"""Subtotal""",716,521,188,0,7
"""Total""",1324,1062,254,0,8
