, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",33,10,3
"""Unemployment Insurance""",0,0,0
"""Supplemental Security Income (SSI)""",37,13,4
"""Social Security Disability Insurance (SSDI)""",35,7,5
"""VA Service - Connected Disability Compensation""",5,0,0
"""VA Non-Service Connected Disability Pension""",4,2,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",2,1,0
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",6,3,0
"""Pension or retirement income from a former job""",2,0,0
"""Child Support""",1,0,0
"""Alimony and other spousal support""",0,0,0
"""Other Source""",2,0,1
"""Chronically Homeless Persons with Income Information at Start and Annual Assessment/Exit""",0,42,0
