, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",9,12,21,0.43,0,9,9,0.0,0,0,0,0.0
"""Supplemental Security Income (SSI)""",11,3,14,0.79,0,0,0,0.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",10,2,12,0.83,0,1,1,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,0,1,1,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",1,0,2,0.5,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,1,1,0.0,0,1,1,0.0,0,0,0,0.0
"""Other source""",2,1,3,0.67,0,0,0,0.0,0,0,0,0.0
"""No Sources""",12,22,34,0.35,1,9,10,0.1,0,0,0,0.0
"""Unduplicated Total Adults""",38,37,75,,1,19,20,,0,0,0,
