, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",256,10,29
"""Unemployment Insurance""",4,0,0
"""Supplemental Security Income (SSI)""",150,20,15
"""Social Security Disability Insurance (SSDI)""",112,13,15
"""VA Service - Connected Disability Compensation""",10,0,1
"""VA Non-Service Connected Disability Pension""",6,3,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",19,1,1
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",28,5,2
"""Pension or retirement income from a former job""",6,0,0
"""Child Support""",13,0,2
"""Alimony and other spousal support""",1,0,1
"""Other Source""",8,0,2
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,60,0
