"""Total Number of Persons Served""",1705
"""Number of Adults (age 18 or over)""",1319
"""Number of Children (under age 18)""",370
"""Number of Persons with Unknown Age""",16
"""Number of Leavers""",202
"""Number of Adult Leavers""",151
"""Number of Adult and Head of Household Leavers""",153
"""Number of Stayers""",1503
"""Number of Adult Stayers""",1168
"""Number of Veterans""",74
"""Number of Chronically Homeless Persons""",230
"""Number of Youth Under Age 25""",97
"""Number of Parenting Youth Under Age 25 with Children""",18
"""Number of Adult Heads of Household""",1075
"""Number of Child and Unknown-Age Heads of Household""",5
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",459
