, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",155,0,37
"""Unemployment Insurance""",3,1,0
"""Supplemental Security Income (SSI)""",82,14,14
"""Social Security Disability Insurance (SSDI)""",59,8,7
"""VA Service - Connected Disability Compensation""",6,0,0
"""VA Non-Service Connected Disability Pension""",4,0,1
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",10,0,1
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",12,0,5
"""Pension or retirement income from a former job""",1,0,0
"""Child Support""",20,0,3
"""Alimony and other spousal support""",0,0,0
"""Other Source""",7,0,0
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,26,0
