, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",111,76,35,0,0
"""Transitional housing for homeless persons (including homeless youth)""",2,2,0,0,0
"""Place not meant for human habitation""",58,48,10,0,0
"""Safe Haven""",1,1,0,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",172,127,45,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",4,4,0,0,0
"""Substance abuse treatment facility or detox center""",1,1,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",10,10,0,0,0
"""Jail, prison or juvenile detention facility""",12,11,1,0,0
"""Foster care home or foster care group home""",1,1,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Subtotal""",28,27,1,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",1,1,0,0,0
"""Owned by client, no ongoing housing subsidy""",19,9,10,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",154,93,61,0,0
"""Rental by client, with VASH housing subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",2,1,1,0,0
"""Rental by client, with other housing subsidy (including RRH)""",2,1,1,0,0
"""Hotel or motel paid for without emergency shelter voucher""",27,18,9,0,0
"""Staying or living in a friend''s room, apartment or house""",32,27,5,0,0
"""Staying or living in a family member''s room, apartment or house""",44,26,18,0,0
"""Client Doesn''t Know/Client Refused""",1,1,0,0,0
"""Data not collected""",9,8,0,0,1
"""Subtotal""",291,185,105,0,1
"""Total""",491,339,151,0,1
