"""Total Number of Persons Served""",714
"""Number of Adults (age 18 or over)""",491
"""Number of Children (under age 18)""",221
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",133
"""Number of Adult Leavers""",95
"""Number of Adult and Head of Household Leavers""",95
"""Number of Stayers""",581
"""Number of Adult Stayers""",396
"""Number of Veterans""",27
"""Number of Chronically Homeless Persons""",60
"""Number of Youth Under Age 25""",32
"""Number of Parenting Youth Under Age 25 with Children""",11
"""Number of Adult Heads of Household""",395
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",109
