, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",1,15,16,0.06,1,19,20,0.05,0,0,0,0.0
"""Supplemental Security Income (SSI)""",12,1,13,0.92,0,1,1,0.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",5,0,5,1.0,2,0,2,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,0,1,1,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",0,3,3,0.0,1,1,2,0.5,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,0,3,3,0.0,0,0,0,0.0
"""Other source""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""No Sources""",8,17,25,0.32,0,7,7,0.0,0,0,0,0.0
"""Unduplicated Total Adults""",23,36,59,,3,28,31,,0,0,0,
