"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",133,0,34
"""Adults with Only Other Income""",141,19,22
"""Adults with Both Earned and Other Income""",21,0,3
"""Adults with No Income""",190,7,36
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",6,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,287,0
"""Number of Adult Stayers without Required Annual Assessment""",0,83,0
"""Total Adults""",491,396,95
"""1 or More Source of Income""",308,22,60
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,26,0
