, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",139,9,33
"""$1 -  $150""",1,0,0
"""$151 - $250""",5,0,1
"""$251 - $500""",23,1,3
"""$501 - $1000""",90,10,13
"""$1001 - $1500""",76,8,15
"""$1501 - $2000""",55,1,17
"""$2001+""",46,2,13
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",44,1,8
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,268,0
"""Number of Adult Stayers without Required Annual Assessment""",0,76,0
"""Total Adults""",479,376,103
