"""Total Number of Persons Served""",705
"""Number of Adults (age 18 or over)""",479
"""Number of Children (under age 18)""",224
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",149
"""Number of Adult Leavers""",103
"""Number of Adult and Head of Household Leavers""",103
"""Number of Stayers""",556
"""Number of Adult Stayers""",376
"""Number of Veterans""",29
"""Number of Chronically Homeless Persons""",50
"""Number of Youth Under Age 25""",31
"""Number of Parenting Youth Under Age 25 with Children""",15
"""Number of Adult Heads of Household""",364
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",108
