"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",143,2,33
"""Adults with Only Other Income""",128,20,23
"""Adults with Both Earned and Other Income""",25,0,6
"""Adults with No Income""",174,10,39
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",8,0,2
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,268,0
"""Number of Adult Stayers without Required Annual Assessment""",0,76,0
"""Total Adults""",479,376,103
"""1 or More Source of Income""",314,26,62
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,32,0
