, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",168,2,39
"""Unemployment Insurance""",1,1,0
"""Supplemental Security Income (SSI)""",79,14,12
"""Social Security Disability Insurance (SSDI)""",52,9,14
"""VA Service - Connected Disability Compensation""",5,0,0
"""VA Non-Service Connected Disability Pension""",3,0,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",10,0,1
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",7,0,2
"""Pension or retirement income from a former job""",5,0,3
"""Child Support""",23,0,6
"""Alimony and other spousal support""",1,0,0
"""Other Source""",5,0,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,32,0
