, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",15,9,6,0,0
"""8 to 14 days""",4,4,0,0,0
"""15 to 21 days""",17,0,17,0,0
"""22 to 30 days""",10,0,10,0,0
"""31 to 60 days""",16,4,12,0,0
"""61 to 180 days""",43,14,29,0,0
"""181 to 365 days""",16,12,4,0,0
"""366-730 days (1-2 years)""",19,19,0,0,0
"""731 days or more""",24,24,0,0,0
"""Total (persons moved into housing)""",164,86,78,0,0
"""Not yet moved into housing""",48,26,22,0,0
"""Data not collected""",43,24,19,0,0
"""Total persons""",255,136,119,0,0
