, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",5,19,24,0.21,3,13,16,0.19,0,0,0,0.0
"""Supplemental Security Income (SSI)""",8,0,8,1.0,2,2,4,0.5,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",9,2,11,0.82,3,0,3,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,1,0,1,1.0,0,0,0,0.0
"""Retirement Income from Social Security""",1,1,2,0.5,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",1,1,2,0.5,0,1,1,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,3,3,6,0.5,0,0,0,0.0
"""Other source""",0,0,0,0.0,0,1,1,0.0,0,0,0,0.0
"""No Sources""",8,8,16,0.5,1,16,17,0.06,0,0,0,0.0
"""Unduplicated Total Adults""",27,29,56,,8,32,40,,0,0,0,
