count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2017-07-01,2017-07-31,Q20b,benefit_at_entry,233
No Sources,all_persons,2017-07-01,2017-07-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,19
No Sources,all_persons,2017-07-01,2017-07-31,Q20b,benefit_at_exit_for_leavers,29
1 + Source(s),all_persons,2017-07-01,2017-07-31,Q20b,benefit_at_entry,141
1 + Source(s),all_persons,2017-07-01,2017-07-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,21
1 + Source(s),all_persons,2017-07-01,2017-07-31,Q20b,benefit_at_exit_for_leavers,24
Client Doesn't Know/Client Refused,all_persons,2017-07-01,2017-07-31,Q20b,benefit_at_entry,0
Client Doesn't Know/Client Refused,all_persons,2017-07-01,2017-07-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2017-07-01,2017-07-31,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2017-07-01,2017-07-31,Q20b,benefit_at_entry,38
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2017-07-01,2017-07-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,313
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2017-07-01,2017-07-31,Q20b,benefit_at_exit_for_leavers,6
