dv_fleeing,total,population,start_date,end_date,question,household_type,count
Yes,13,all_persons,2017-07-01,2017-07-31,Q14b,without_children,6
Yes,13,all_persons,2017-07-01,2017-07-31,Q14b,with_children_and_adults,7
Yes,13,all_persons,2017-07-01,2017-07-31,Q14b,with_only_children,0
Yes,13,all_persons,2017-07-01,2017-07-31,Q14b,unknown_household_type,0
No,41,all_persons,2017-07-01,2017-07-31,Q14b,without_children,18
No,41,all_persons,2017-07-01,2017-07-31,Q14b,with_children_and_adults,23
No,41,all_persons,2017-07-01,2017-07-31,Q14b,with_only_children,0
No,41,all_persons,2017-07-01,2017-07-31,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2017-07-01,2017-07-31,Q14b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2017-07-01,2017-07-31,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2017-07-01,2017-07-31,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2017-07-01,2017-07-31,Q14b,unknown_household_type,0
Data Not Collected,4,all_persons,2017-07-01,2017-07-31,Q14b,without_children,3
Data Not Collected,4,all_persons,2017-07-01,2017-07-31,Q14b,with_children_and_adults,1
Data Not Collected,4,all_persons,2017-07-01,2017-07-31,Q14b,with_only_children,0
Data Not Collected,4,all_persons,2017-07-01,2017-07-31,Q14b,unknown_household_type,0
